name,collection,path,repo_url,license,version,author,has_frontmatter,is_template,duplicate_of,description
academic-paper-composer,academic-paper-skills,skills/academic-paper-skills/composer/SKILL.md,https://github.com/lishix520/academic-paper-skills,,,,True,False,,"Systematic writing framework for philosophy and interdisciplinary academic papers from optimized outline to submission-ready manuscript. Use when users want to: (1) write a paper from a detailed outline, (2) ensure quality control during writing, (3) maintain consistency across chapters, (4) prepare a submission-ready manuscript, or (5) systematically execute a planned paper. Triggered by phrases like 'write the paper from this outline,' 'compose the full manuscript,' 'execute the outline,' or when users have completed strategic planning (academic-paper-strategist skill) and are ready to write. Takes optimized outline as input; outputs complete manuscript with iterative quality checks."
academic-paper-strategist,academic-paper-skills,skills/academic-paper-skills/strategist/SKILL.md,https://github.com/lishix520/academic-paper-skills,,,,True,False,,"Systematic strategic planning framework for philosophy and interdisciplinary academic papers targeting preprint platforms (PhilArchive, arXiv, PhilSci-Archive). Use when users want to: (1) plan a paper on a specific topic, (2) identify research gaps and assess originality, (3) develop optimized paper outlines, (4) prepare for preprint submission, or (5) understand platform requirements and writing standards. Triggered by phrases like 'plan a paper on,' 'help me design a paper about,' 'identify research gaps in,' 'is this idea original,' or when users need structured research planning. The skill guides through three phases: Platform Analysis (identifying target venue and studying sample papers), Theoretical Framework (AI-driven literature search and gap identification), and Outline Optimization (structured design with reviewer-perspective self-assessment). Each phase includes quality evaluation standards and validation checkpoints. Output: optimized detailed outline ready for systematic writing (use with academic-paper-composer skill)."
academic-paper-reviewer,academic-research-skills,skills/academic-research-skills/academic-paper-reviewer/SKILL.md,https://github.com/Imbad0202/academic-research-skills,,,,True,False,,"Multi-perspective academic paper review with dynamic reviewer personas. Simulates 5 independent reviewers (EIC + 3 peer reviewers + Devil's Advocate) with field-specific expertise. Supports full review, re-review (verification), quick assessment, methodology focus, Socratic guided, and calibration modes. Triggers on: review paper, peer review, manuscript review, referee report, review my paper, critique paper, simulate review, editorial review, calibrate reviewer, reviewer calibration, measure reviewer accuracy."
academic-paper,academic-research-skills,skills/academic-research-skills/academic-paper/SKILL.md,https://github.com/Imbad0202/academic-research-skills,,,,True,False,,"12-agent academic paper writing pipeline. 10 modes (full/plan/outline/revision/revision-coach/abstract/lit-review/format-convert/citation-check/disclosure). 6 paper types, 5 citation formats, bilingual abstracts, LaTeX/DOCX-via-Pandoc/PDF output. Style Calibration + Writing Quality Check + Anti-Patterns with IRON RULE markers. Triggers: write paper, academic paper, guide my paper, parse reviews, AI disclosure, 寫論文, 學術論文, 引導我寫論文, 審查意見."
academic-pipeline,academic-research-skills,skills/academic-research-skills/academic-pipeline/SKILL.md,https://github.com/Imbad0202/academic-research-skills,,,,True,False,,"Orchestrator for the full academic research pipeline: research -> write -> integrity check -> review -> revise -> re-review -> re-revise -> final integrity check -> finalize. Coordinates deep-research, academic-paper, and academic-paper-reviewer into a seamless 10-stage workflow with mandatory integrity verification, two-stage peer review, and reproducible quality gates. Triggers on: academic pipeline, research to paper, full paper workflow, paper pipeline, end-to-end paper, research-to-publication, complete paper workflow."
deep-research,academic-research-skills,skills/academic-research-skills/deep-research/SKILL.md,https://github.com/Imbad0202/academic-research-skills,,,,True,False,,"Universal deep research agent team. 13-agent pipeline for rigorous academic research on any topic. 7 modes: full research, quick brief, paper review, lit-review, fact-check, Socratic guided research dialogue, and systematic review with optional meta-analysis. Covers research question formulation, Socratic mentoring, methodology design, systematic literature search, source verification, cross-source synthesis, risk of bias assessment, meta-analysis, APA 7.0 report compilation, editorial review, devil's advocate challenges, ethics review, and post-research literature monitoring. Triggers on: research, deep research, literature review, systematic review, meta-analysis, PRISMA, evidence synthesis, fact-check, guide my research, help me think through, 研究, 深度研究, 文獻回顧, 文獻探討, 系統性回顧, 後設分析, 事實查核, 引導我的研究, 幫我釐清, 幫我想想, 我不確定要研究什麼, 研究方向, 研究主題."
academic-research-suite,academic-research-skills-codex,skills/academic-research-skills-codex/skills/academic-research-suite/SKILL.md,https://github.com/Imbad0202/academic-research-skills-codex,,,,True,False,,"Codex-native Academic Research Skills suite for deep research, academic paper writing, manuscript review, full research-to-paper pipelines, and experiment planning or validation. Use when the user asks for deep research, literature review, systematic review, meta-analysis, research question refinement, academic paper drafting, paper revision, citation or integrity checks, reviewer simulation, peer review, editorial decision letters, research-to-paper workflows, experiment execution planning, statistical interpretation, or human study protocol support. Also use for Claude-style ARS command aliases such as /ars-plan, ars-plan, /ars-outline, /ars-abstract, /ars-lit-review, /ars-citation-check, /ars-disclosure, /ars-format-convert, /ars-revision-coach, /ars-revision, and /ars-full. This skill vendors ARS role prompts, references, templates, and shared handoff schemas under ars/."
benchmark-extractor,academic-skills,skills/academic-skills/benchmark-extractor/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"extract structured benchmark information from academic papers when the input includes multiple pdfs, abstracts, or links and the user needs chinese notes or table-ready fields for tasks, datasets, metrics, baselines, sota claims, code release, or evaluation settings."
experiment-log-summarizer,academic-skills,skills/academic-skills/experiment-log-summarizer/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"summarize machine learning experiment logs in chinese when the input includes training logs, eval results, hyperparameter changes, user notes, or multiple runs and the user needs a grounded experiment summary, error analysis, best configuration recap, or a weekly update ready abstract."
paper-deep-note,academic-skills,skills/academic-skills/paper-deep-note/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"produce a chinese deep reading note for a single academic paper when the input is a pdf, arxiv link, title with abstract, or paper excerpts and the user needs a grounded reading card, contribution summary, reproduction risks, or reading priority judgment."
paper-feishu-digest,academic-skills,skills/academic-skills/paper-feishu-digest/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"monitor recent arxiv papers and produce a chinese digest when the user needs a filtered paper watchlist, a ranked update for agent or rag related topics, or an optional feishu webhook push from recent cs.ai or cs.cl submissions."
research-gap-finder,academic-skills,skills/academic-skills/research-gap-finder/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"analyze topic coverage, bottlenecks, controversies, and plausible research gaps when the input includes a research topic, a set of papers, or the user's early ideas and the user needs a grounded gap analysis, problem framing, small entry points, or experiment hypotheses without forced novelty claims."
review-rebuttal,academic-skills,skills/academic-skills/review-rebuttal/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"analyze academic reviews and draft a professional rebuttal when the input includes reviewer comments, a meta-review, paper abstract, or user supplied experiment status and the user needs concern classification, response strategy, risk warnings, or a rebuttal draft without inventing evidence."
survey-writer,academic-skills,skills/academic-skills/survey-writer/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"write a chinese survey draft around a research topic when the input includes a topic, multiple papers, abstracts, links, pdfs, or a user curated related-work list and the user needs a short survey, long survey, taxonomy, or method evolution summary."
weekly-lab-update,academic-skills,skills/academic-skills/weekly-lab-update/SKILL.md,https://github.com/chtc66/academic-skills,,,,True,False,,"turn a week's paper reading, experiment progress, debugging notes, and next-step plans into a chinese weekly report, a chinese group-meeting outline, or an english brief when the user needs a concise lab update instead of a raw activity log."
scientific-visualization,academicforge,skills/academicforge/skills/scientific-visualization/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,"Create publication figures with matplotlib/seaborn/plotly. Multi-panel layouts, error bars, significance markers, colorblind-safe, export PDF/EPS/TIFF, for journal-ready scientific plots."
brainstorming,academicforge,skills/academicforge/skills/superpowers/brainstorming/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,"You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation."
dispatching-parallel-agents,academicforge,skills/academicforge/skills/superpowers/dispatching-parallel-agents/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies
executing-plans,academicforge,skills/academicforge/skills/superpowers/executing-plans/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,Use when you have a written implementation plan to execute in a separate session with review checkpoints
finishing-a-development-branch,academicforge,skills/academicforge/skills/superpowers/finishing-a-development-branch/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,"Use when implementation is complete, all tests pass, and you need to decide how to integrate the work - guides completion of development work by presenting structured options for merge, PR, or cleanup"
receiving-code-review,academicforge,skills/academicforge/skills/superpowers/receiving-code-review/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative agreement or blind implementation"
requesting-code-review,academicforge,skills/academicforge/skills/superpowers/requesting-code-review/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements"
subagent-driven-development,academicforge,skills/academicforge/skills/superpowers/subagent-driven-development/SKILL.md,https://github.com/HughYau/AcademicForge,,,,True,False,,Use when executing implementation plans with independent tasks in the current session
